(np.float64(263.90158010815327), np.float64(281.49885598138275))
(np.float64(264.7022552952111), np.float64(281.35062164160826))
(np.float64(264.7313333612397), np.float64(281.30505605031465))
(np.float64(263.561502291398), np.float64(282.3388925132509))
(np.float64(262.5725990597441), np.float64(281.897924802699))
(np.float64(261.3304837573047), np.float64(282.4995192150561))
(np.float64(264.275248272033), np.float64(281.6803905213443))
(np.float64(264.2344397316119), np.float64(281.7213561288483))
(np.float64(264.8958136712531), np.float64(281.9314788841222))
(np.float64(265.11504266833214), np.float64(281.86390180766057))
(np.float64(264.8557392607892), np.float64(281.8356160195083))
(np.float64(262.26615909876034), np.float64(281.64684753093707))
(np.float64(262.5042923758916), np.float64(281.73730676764205))
(np.float64(264.0775838658411), np.float64(282.1520911951824))
(np.float64(263.8159828777265), np.float64(282.53884365520565))
(np.float64(263.8534878333042), np.float64(282.52220907040993))
(np.float64(263.74679572340534), np.float64(282.48308742010244))
(np.float64(263.86740873374157), np.float64(282.48631429973045))
(np.float64(263.9841454546391), np.float64(282.4570430475218))
(np.float64(264.008511148407), np.float64(282.44198023547824))
(np.float64(264.152488529737), np.float64(282.4295522367371))
(np.float64(264.1487625687529), np.float64(282.3772366409054))
(np.float64(264.14648475454914), np.float64(281.9499475472202))
(np.float64(264.4524418265521), np.float64(281.7219415284368))
(np.float64(264.17394232491034), np.float64(281.6744702823873))
(np.float64(264.07075475795295), np.float64(281.7559417353772))
(np.float64(263.9589755816736), np.float64(282.5522177842833))
(np.float64(263.73339845841866), np.float64(281.9583746588586))
(np.float64(263.598757393107), np.float64(282.3117458270037))
(np.float64(263.5116104098186), np.float64(282.3739234574146))
(np.float64(263.3639759030133), np.float64(282.5012681410279))
(np.float64(264.34711446322285), np.float64(281.6752307139697))
(np.float64(264.0233974800203), np.float64(281.8043280205624))
(np.float64(263.76162084862995), np.float64(282.0118875389765))
(np.float64(263.6247206951485), np.float64(282.32196592564))
(np.float64(262.39731105276314), np.float64(282.33394852613856))
(np.float64(263.60228655732743), np.float64(282.49573711794676))
(np.float64(263.2915853828257), np.float64(282.5421458082855))
(np.float64(264.56527572946936), np.float64(282.52123918226295))
(np.float64(264.72942434590334), np.float64(281.8401560027177))
(np.float64(264.89890953580795), np.float64(281.80979667940244))
(np.float64(265.06530336927045), np.float64(281.8375318561798))
(np.float64(265.1302653750348), np.float64(281.7232952990779))
(np.float64(262.4702730638355), np.float64(281.6650254639579))
(np.float64(262.34911786539965), np.float64(281.59368356328173))
(np.float64(262.7226761005125), np.float64(281.6226968736046))
(np.float64(264.1347587882792), np.float64(282.13433362985626))
(np.float64(264.3748319440173), np.float64(282.38259014712133))
(np.float64(263.7909466878565), np.float64(282.49811198935566))
(np.float64(263.8127094626162), np.float64(282.49761343908733))
(np.float64(263.8518959468613), np.float64(282.4528390069461))
(np.float64(263.8986024950487), np.float64(282.48312572350125))
(np.float64(264.00489945091397), np.float64(282.4640773578369))
(np.float64(264.0598497896382), np.float64(282.435334231936))
(np.float64(264.09149592342067), np.float64(282.41523064396756))
(np.float64(264.1384925517746), np.float64(282.4020830625295))
(np.float64(264.0840205939098), np.float64(282.3601244151419))
(np.float64(263.7504294413221), np.float64(282.4926375122763))
(np.float64(262.8491477592541), np.float64(282.556942254125))
(np.float64(262.92740108919855), np.float64(282.5464793046574))
(np.float64(262.91281558787824), np.float64(282.5378286151047))
(np.float64(262.95803029519897), np.float64(282.5054981212483))
(np.float64(263.00506333529), np.float64(282.50944858361953))
(np.float64(263.0212032709819), np.float64(282.51849000421464))
(np.float64(262.98404942857195), np.float64(282.5422873248058))
(np.float64(263.02278197984657), np.float64(282.47994781404174))
(np.float64(263.0962998767478), np.float64(282.5004000720427))
(np.float64(263.083716153991), np.float64(282.5325403216386))
(np.float64(263.0344229854008), np.float64(282.5654409422084))
(np.float64(264.78127465873723), np.float64(282.46926031695074))
(np.float64(264.8613560312393), np.float64(282.4274291859448))
(np.float64(264.8888682191981), np.float64(282.4652016111106))
(np.float64(263.85375502609895), np.float64(282.21541132146905))
(np.float64(262.24097500788116), np.float64(282.3722145318305))
(np.float64(267.39659375716457), np.float64(282.57928386369355))
(np.float64(267.234847968563), np.float64(282.43798413630236))
(np.float64(265.70195564708246), np.float64(282.1711823491398))
(np.float64(265.2290460815406), np.float64(281.9733537125192))
(np.float64(265.83713838032037), np.float64(282.4257320180521))
(np.float64(266.07863592852044), np.float64(282.5352293778956))
(np.float64(266.18537849468265), np.float64(282.5123153385605))
(np.float64(266.348847078596), np.float64(282.57679450633697))
(np.float64(267.8170180585471), np.float64(282.465688343084))
(np.float64(267.4555400238844), np.float64(282.5123585510974))
(np.float64(266.19245710966226), np.float64(282.53911044565865))
(np.float64(265.6120720617139), np.float64(282.423764605122))
(np.float64(267.2986395970807), np.float64(282.52079154157934))
(np.float64(266.84090661672326), np.float64(282.38045479317833))
(np.float64(267.44367170505967), np.float64(282.52451509266893))
(np.float64(267.48194165388355), np.float64(282.4867912134244))
(np.float64(265.8831257100137), np.float64(282.5579346273382))
(np.float64(265.82726178348463), np.float64(282.1854079409826))
(np.float64(266.1685233284534), np.float64(282.5818026152767))
(np.float64(266.157155757699), np.float64(282.5243608487568))
(np.float64(266.2157439756768), np.float64(282.5268019026186))
(np.float64(266.2586383884328), np.float64(282.53238656257884))
(np.float64(265.6404173848818), np.float64(282.1019231352272))
(np.float64(265.73757412793054), np.float64(281.9318698575929))
(np.float64(266.2132407554848), np.float64(282.22777998630295))
(np.float64(260.88375423033455), np.float64(282.6336197820581))
(np.float64(261.1609748130803), np.float64(283.04860784792527))
(np.float64(260.00145641398), np.float64(283.64816793762134))
(np.float64(259.0748371915671), np.float64(282.8797209451867))
(np.float64(259.6853115114869), np.float64(282.9066399928734))
(np.float64(263.00225200244483), np.float64(282.6731143450592))
(np.float64(262.9701420524987), np.float64(282.6762302539206))
(np.float64(264.9907954199046), np.float64(283.51378245877805))
(np.float64(264.7658867120982), np.float64(283.0914490492891))
(np.float64(264.5118276349635), np.float64(283.46705637143856))
(np.float64(264.0891248258167), np.float64(283.34471997858634))
(np.float64(263.8322488673838), np.float64(282.914345643002))
(np.float64(263.5035022096483), np.float64(283.05987613850283))
(np.float64(263.15510743209984), np.float64(282.8077135835407))
(np.float64(262.7441664808103), np.float64(283.32562355185047))
(np.float64(262.4486382503196), np.float64(283.4530466604674))
