(np.float64(275.0062458178729), np.float64(397.81183391118515))
(np.float64(278.35030212904434), np.float64(397.57437871029174))
(np.float64(278.36809238333996), np.float64(397.00940592411513))
(np.float64(271.25984345912514), np.float64(405.4161660923917))
(np.float64(272.44160232029765), np.float64(405.2496395154616))
(np.float64(271.5789514100357), np.float64(405.1513339606029))
(np.float64(270.3976553246902), np.float64(404.40696271568595))
(np.float64(269.4952892664379), np.float64(400.673610743791))
(np.float64(271.7165522293612), np.float64(402.3119292833183))
(np.float64(271.5193918656283), np.float64(400.1852175452054))
(np.float64(272.0662479462405), np.float64(399.8309743080425))
(np.float64(271.87594894079484), np.float64(398.81006845475423))
(np.float64(269.5871129038129), np.float64(400.4172172995081))
(np.float64(277.4323731744231), np.float64(405.4323175210044))
(np.float64(277.2253698513601), np.float64(405.20852233073805))
(np.float64(276.96353270713325), np.float64(405.52687303967116))
(np.float64(277.7927309413142), np.float64(402.8219307510584))
(np.float64(275.87220256704524), np.float64(404.07877518454376))
(np.float64(274.69402436667843), np.float64(404.0046766511971))
(np.float64(274.4380339070076), np.float64(404.8638994894526))
(np.float64(277.60086865864037), np.float64(402.7926292561364))
(np.float64(277.6784768072926), np.float64(403.7155228907282))
(np.float64(275.15871112177535), np.float64(404.18472644955847))
(np.float64(276.91283872701973), np.float64(402.1419992796006))
(np.float64(276.65873873002784), np.float64(402.0765813754907))
(np.float64(275.42827310260947), np.float64(401.58677767844597))
(np.float64(276.3246719707985), np.float64(402.07714253242335))
(np.float64(276.72752916980676), np.float64(402.59652712102724))
(np.float64(277.8884109283604), np.float64(398.8699000625211))
(np.float64(277.1053919657391), np.float64(398.90805909747974))
(np.float64(276.46032476222365), np.float64(398.7364085923087))
(np.float64(277.86005225422434), np.float64(399.1514217493288))
(np.float64(275.4871676993456), np.float64(398.03503782301937))
(np.float64(274.58762459101166), np.float64(398.08797590970715))
(np.float64(274.69261974059555), np.float64(398.1325480368656))
(np.float64(278.0814534714728), np.float64(404.7706353771928))
(np.float64(278.54112026181804), np.float64(404.1610840395558))
(np.float64(278.0351117342021), np.float64(404.1457906192213))
(np.float64(278.4715096910208), np.float64(404.59580441708243))
(np.float64(279.09692825455005), np.float64(404.2046599146745))
(np.float64(279.63889181149216), np.float64(403.6425581865082))
