(np.float64(124.48774985053937), np.float64(415.7947965649328))
(np.float64(124.49301186663489), np.float64(415.69254430531663))
(np.float64(123.9231461693799), np.float64(415.5827092452377))
(np.float64(124.36221484037033), np.float64(415.81810897175046))
(np.float64(123.75832705682163), np.float64(415.62286357218306))
(np.float64(124.18642556514828), np.float64(415.67497849941657))
(np.float64(123.99742039007052), np.float64(415.7118350369531))
(np.float64(123.86913039855001), np.float64(415.7405495565159))
(np.float64(123.64165379637465), np.float64(415.58630006777594))
(np.float64(123.5955098962142), np.float64(415.62204750370194))
(np.float64(123.56451917368696), np.float64(415.6449646945846))
(np.float64(123.37874198575079), np.float64(415.80109614088195))
(np.float64(123.23059598074373), np.float64(415.81176994087207))
(np.float64(123.5123024894277), np.float64(415.65709608439806))
(np.float64(123.47740860214304), np.float64(415.67071003397587))
(np.float64(123.89045016385316), np.float64(415.69857387866267))
(np.float64(123.85881599392859), np.float64(415.60745239314053))
(np.float64(123.85710377536826), np.float64(415.53337410241386))
(np.float64(123.84833704292656), np.float64(415.559201381989))
(np.float64(123.98254879653307), np.float64(415.64025561883255))
(np.float64(124.1628004167523), np.float64(415.5284127818016))
(np.float64(125.92219940111093), np.float64(415.2872712422982))
(np.float64(126.2693808008859), np.float64(415.3192290052858))
(np.float64(126.07737027042582), np.float64(415.3169768017334))
(np.float64(126.13472742494162), np.float64(415.23255313843003))
(np.float64(126.28429764901455), np.float64(415.2976949792692))
(np.float64(125.8971306140645), np.float64(415.3479321914077))
(np.float64(126.01081013620363), np.float64(415.2342913976313))
(np.float64(126.65813174637897), np.float64(415.32066732220085))
(np.float64(126.51598431488759), np.float64(415.3257409469248))
(np.float64(124.91955212602919), np.float64(415.30261381462344))
(np.float64(129.2361461537808), np.float64(415.6700403911478))
(np.float64(130.4371474039787), np.float64(415.6098119310666))
(np.float64(130.69094050205254), np.float64(415.6388391809204))
(np.float64(130.76192882361153), np.float64(415.86460748113547))
(np.float64(130.31478524317177), np.float64(415.8078004480164))
(np.float64(130.5312625533102), np.float64(415.7260977806738))
(np.float64(130.46458659507962), np.float64(415.7497741303964))
(np.float64(130.70906539755634), np.float64(415.69412462359907))
(np.float64(129.46735894690582), np.float64(415.7865641824475))
(np.float64(129.91687657256352), np.float64(415.81396899239866))
(np.float64(129.27656023371176), np.float64(415.867710965635))
(np.float64(129.33763901447895), np.float64(415.8115183626873))
(np.float64(129.41980799320825), np.float64(415.80818033046944))
(np.float64(129.4086503967983), np.float64(415.653174107153))
(np.float64(129.37469003707383), np.float64(415.8449638976056))
(np.float64(129.3610810638516), np.float64(415.8798383554126))
(np.float64(129.3539575410753), np.float64(415.85707019626875))
(np.float64(129.1765475967984), np.float64(415.81530488407975))
(np.float64(129.28112921309707), np.float64(415.8126352219501))
(np.float64(129.17873334132085), np.float64(415.8522651195901))
(np.float64(129.24986141459667), np.float64(415.71296995699817))
(np.float64(129.43493169468005), np.float64(415.7565744384542))
(np.float64(130.1670137588959), np.float64(415.91565597383084))
(np.float64(129.18819987265977), np.float64(415.7776943998696))
(np.float64(129.1749447868318), np.float64(415.7043373282269))
(np.float64(129.08856140967941), np.float64(415.67277665998364))
(np.float64(130.24197113312076), np.float64(415.58192499524654))
(np.float64(128.9937551309187), np.float64(415.7930242447952))
(np.float64(129.43309793026836), np.float64(415.85449059561626))
(np.float64(129.17938892597707), np.float64(415.8796236260671))
(np.float64(132.47571378526428), np.float64(415.6047071545247))
(np.float64(132.42623821120898), np.float64(415.5867896482583))
(np.float64(132.44542303503397), np.float64(415.56772043390873))
(np.float64(132.47059706933618), np.float64(415.57516850579526))
(np.float64(132.3879939239945), np.float64(415.6671485450557))
(np.float64(132.78100642977043), np.float64(415.5580240978989))
(np.float64(132.39967567601857), np.float64(415.61599968775556))
(np.float64(132.39266936435834), np.float64(415.60628910918643))
(np.float64(131.12187305720872), np.float64(415.88167976712236))
(np.float64(131.09776848761658), np.float64(415.7023335513117))
(np.float64(131.4501496567668), np.float64(415.7071086883081))
(np.float64(131.2369395197385), np.float64(415.7228882345422))
(np.float64(131.16213923614052), np.float64(415.8314921312201))
(np.float64(131.3847142984265), np.float64(415.7778182798521))
(np.float64(130.86226327092095), np.float64(415.88399839556297))
(np.float64(130.79940360946833), np.float64(415.8280733709532))
(np.float64(132.376925969809), np.float64(415.4044486156642))
(np.float64(131.5858083434211), np.float64(415.4699379750079))
(np.float64(131.23217582426648), np.float64(415.6297063655022))
(np.float64(131.29107995740873), np.float64(415.55866755865736))
(np.float64(131.6226528594612), np.float64(415.6114124919664))
(np.float64(131.18810184463365), np.float64(415.6363050352493))
(np.float64(131.92440975095596), np.float64(415.27523839889204))
(np.float64(131.81283170617553), np.float64(415.59179909054814))
(np.float64(131.7411206983439), np.float64(415.7876736476984))
(np.float64(131.96561205829323), np.float64(415.697451140552))
(np.float64(132.04340573341196), np.float64(415.8628915857867))
(np.float64(132.35813317902867), np.float64(415.23355048139166))
(np.float64(132.2761429645776), np.float64(415.24131934425054))
(np.float64(132.37421606966134), np.float64(415.3448005854266))
(np.float64(132.22990422052044), np.float64(415.2708515686738))
(np.float64(132.41003290778065), np.float64(415.2964930888819))
(np.float64(132.46362543550836), np.float64(415.3120875424211))
(np.float64(131.12289917462212), np.float64(415.65647741176076))
(np.float64(131.4661198444158), np.float64(415.655144429198))
(np.float64(131.00569308910661), np.float64(415.6391166381404))
(np.float64(131.05016465021623), np.float64(415.74517778300674))
(np.float64(130.87712792889266), np.float64(415.80201633158237))
(np.float64(132.06713716940158), np.float64(415.58467520360733))
(np.float64(132.02505941987667), np.float64(415.23494285846505))
(np.float64(132.1457214993673), np.float64(415.46271311739804))
(np.float64(132.4187401677138), np.float64(415.4003005150233))
(np.float64(131.89611210982113), np.float64(415.5135333048608))
(np.float64(132.70809279430168), np.float64(415.71793879283433))
(np.float64(132.75521807745636), np.float64(415.6245033455856))
(np.float64(132.64704366309567), np.float64(415.6317165667185))
(np.float64(132.68620691319546), np.float64(415.69142277933986))
(np.float64(132.65036892158815), np.float64(415.5045051571185))
(np.float64(132.54378830095138), np.float64(415.51069230774397))
(np.float64(132.5479733965966), np.float64(415.5459798604424))
(np.float64(132.64477781274988), np.float64(415.5661455096193))
(np.float64(132.61061857558346), np.float64(415.5243675306409))
(np.float64(132.69558848380748), np.float64(415.535213332286))
(np.float64(132.55232546605203), np.float64(415.6016282157154))
(np.float64(132.54186298703297), np.float64(415.6305041307762))
(np.float64(131.8715985150577), np.float64(415.5533536891886))
(np.float64(131.76992220856025), np.float64(415.47822084282916))
(np.float64(132.41001868986578), np.float64(415.6351770849671))
(np.float64(132.48752748649136), np.float64(415.63878348341296))
(np.float64(132.73471098743622), np.float64(415.4924927987589))
(np.float64(132.9257836555886), np.float64(415.6184848026504))
(np.float64(132.8150090964697), np.float64(415.6009953005163))
(np.float64(133.0261865916444), np.float64(415.6311187427682))
(np.float64(132.80820235579114), np.float64(415.5513605790405))
(np.float64(132.8702737898486), np.float64(415.55538479970136))
(np.float64(132.87700267876082), np.float64(415.6172873365462))
(np.float64(132.8022675895143), np.float64(415.69672537597114))
(np.float64(132.89337564956864), np.float64(415.73626145452374))
(np.float64(132.8118065975378), np.float64(415.4889756132958))
(np.float64(132.87200300055284), np.float64(415.44410124079616))
(np.float64(132.9222206804715), np.float64(415.5067726941563))
(np.float64(132.95384635432904), np.float64(415.54667817021385))
(np.float64(132.8558032455788), np.float64(415.5881149337758))
(np.float64(122.73682578455988), np.float64(416.3720128632148))
(np.float64(123.9800726250607), np.float64(416.04821228350556))
(np.float64(124.60370562638339), np.float64(415.8500263707119))
(np.float64(124.78786925422524), np.float64(415.99074330459854))
(np.float64(123.0298532223116), np.float64(416.0874330862874))
