(np.float64(450.97505742608485), np.float64(327.35619469539415))
(np.float64(452.7915500133268), np.float64(326.8299253130664))
(np.float64(453.3577454075541), np.float64(327.0457404263153))
(np.float64(453.37201638082126), np.float64(327.01226470928293))
(np.float64(451.0448999916626), np.float64(326.91711354850435))
(np.float64(453.9216818869865), np.float64(327.1052762130447))
(np.float64(453.61228043810513), np.float64(327.1673633577347))
(np.float64(452.4574367857982), np.float64(327.38218027952854))
(np.float64(451.5739018373516), np.float64(327.39860365015886))
(np.float64(451.4550554897871), np.float64(327.39336002379537))
(np.float64(454.1780262340725), np.float64(327.2957759910526))
(np.float64(453.82200995989535), np.float64(327.3290827367553))
(np.float64(453.58418913014015), np.float64(327.24207626064754))
(np.float64(453.57866148175486), np.float64(327.32058792749325))
(np.float64(453.86925020010057), np.float64(327.30543232667395))
(np.float64(453.9597552124452), np.float64(327.31997101244815))
(np.float64(453.6337363139443), np.float64(327.46482519839066))
(np.float64(453.5271988672218), np.float64(327.4529324775477))
(np.float64(453.1958948918552), np.float64(327.3608309825664))
(np.float64(453.01382147108336), np.float64(327.3401372070843))
(np.float64(453.2889570484423), np.float64(327.19947887981897))
(np.float64(452.9385216531391), np.float64(327.2863933550402))
(np.float64(453.200648357374), np.float64(327.392316316751))
(np.float64(453.3193164608076), np.float64(327.46666667070645))
(np.float64(452.3346130628858), np.float64(327.3147384770972))
(np.float64(452.4924197951575), np.float64(327.33739166543415))
(np.float64(451.8088615715504), np.float64(327.2290244983105))
(np.float64(451.738821168876), np.float64(327.1753541015243))
(np.float64(451.622747141578), np.float64(327.180675486216))
(np.float64(451.5100349578994), np.float64(327.1814817364228))
(np.float64(451.26668006436637), np.float64(327.31202893579274))
(np.float64(451.24517737342853), np.float64(327.2089426075225))
(np.float64(451.417718548365), np.float64(327.4325097349828))
(np.float64(451.2867604434996), np.float64(327.3800417134354))
(np.float64(453.9550626065513), np.float64(327.15872291070275))
(np.float64(454.0131509434092), np.float64(327.1851979541074))
(np.float64(454.17648185627536), np.float64(327.25614627523066))
(np.float64(450.9275031779998), np.float64(327.3629876094393))
(np.float64(450.91014223540685), np.float64(327.4216569029628))
(np.float64(453.1823049914526), np.float64(327.30309260712323))
(np.float64(453.0799413700767), np.float64(327.38153948546443))
(np.float64(453.9198992724062), np.float64(327.2457198109619))
(np.float64(453.8304370228429), np.float64(327.1567185883309))
(np.float64(453.1405991618086), np.float64(327.416992554915))
(np.float64(453.0839629596805), np.float64(327.43563612879234))
(np.float64(453.02517603764693), np.float64(327.40592626628774))
(np.float64(453.2044226939507), np.float64(327.0979005054968))
(np.float64(452.44774034035953), np.float64(327.30950066896787))
(np.float64(454.2189526791581), np.float64(327.1483544469962))
(np.float64(454.08850832656503), np.float64(327.0799135440145))
(np.float64(453.5987626676013), np.float64(327.0354359632232))
(np.float64(453.20208610079044), np.float64(327.45681215135363))
(np.float64(453.1346928313554), np.float64(327.4521558639915))
(np.float64(451.1945100952598), np.float64(327.42180714683553))
(np.float64(453.47882691556896), np.float64(327.16863112754834))
(np.float64(450.96940407051517), np.float64(327.426733436806))
(np.float64(452.86861510693393), np.float64(327.2262257440267))
(np.float64(454.08027043125855), np.float64(327.24748594922244))
(np.float64(452.3582170577962), np.float64(327.41323312469))
(np.float64(452.7868816819272), np.float64(327.2143484172726))
(np.float64(452.762843173632), np.float64(327.0533846819093))
(np.float64(452.5092421908243), np.float64(327.0396355795158))
(np.float64(454.06232568715177), np.float64(327.32422735655877))
(np.float64(452.7889923489234), np.float64(327.0223733523019))
(np.float64(452.7003748516548), np.float64(327.14073982805206))
(np.float64(452.61222897305623), np.float64(327.2002417356674))
(np.float64(452.53787880788025), np.float64(327.260617288079))
(np.float64(454.19098898567086), np.float64(327.45392582046736))
(np.float64(454.159353948797), np.float64(327.40454213171967))
(np.float64(454.202979543894), np.float64(327.38828712634523))
(np.float64(454.24778869382817), np.float64(327.4161758197557))
(np.float64(454.1808101714135), np.float64(327.4502497849858))
(np.float64(454.19591029194294), np.float64(327.4520702268009))
(np.float64(450.982296079309), np.float64(327.1911943150124))
(np.float64(451.06791480999726), np.float64(327.2497276678267))
(np.float64(450.97600517157224), np.float64(327.3037424921837))
(np.float64(450.8205948517391), np.float64(327.248367048633))
(np.float64(451.04643743389397), np.float64(327.41794874596116))
(np.float64(450.99118591809463), np.float64(327.4152477501964))
(np.float64(451.4046654609803), np.float64(327.3349509752083))
(np.float64(452.2374577069448), np.float64(327.45624790348467))
(np.float64(457.661367840852), np.float64(327.1628646476477))
(np.float64(457.892991046261), np.float64(327.33924598636156))
(np.float64(457.8937199745572), np.float64(327.2014452018272))
(np.float64(457.6645994691583), np.float64(327.27980498842334))
(np.float64(457.4562301858152), np.float64(327.31237718157803))
(np.float64(457.5766779562163), np.float64(327.192833542954))
(np.float64(457.22430632348335), np.float64(327.2704423526035))
(np.float64(457.8598338254134), np.float64(327.41814117206184))
(np.float64(457.5380177082624), np.float64(327.44148982165177))
(np.float64(457.6043002463418), np.float64(327.46696115839717))
(np.float64(457.32224106397155), np.float64(327.43852397484767))
(np.float64(457.50625193590827), np.float64(326.9363927648828))
(np.float64(457.4936123818224), np.float64(326.95898146774783))
(np.float64(457.65657622970497), np.float64(327.0750016784256))
(np.float64(457.866843258086), np.float64(326.8348163905786))
(np.float64(457.9447480756945), np.float64(327.11997229428033))
(np.float64(457.5114598545671), np.float64(326.85553956028565))
(np.float64(457.3400457095806), np.float64(326.87963748983515))
(np.float64(457.23721064290976), np.float64(326.88271345891576))
(np.float64(457.206516936121), np.float64(327.04140468749637))
(np.float64(457.0837897910099), np.float64(327.05816375834075))
(np.float64(457.906799070315), np.float64(327.32269709936674))
(np.float64(456.58770207448913), np.float64(327.4539981241965))
(np.float64(456.81354396308336), np.float64(327.4370755972309))
(np.float64(457.1129854149183), np.float64(327.2923991099758))
(np.float64(455.42232190596866), np.float64(327.253049336251))
(np.float64(455.7835341349455), np.float64(327.47667476730015))
(np.float64(455.8232035081838), np.float64(327.4332536209485))
(np.float64(454.70489920689), np.float64(327.3357665588389))
(np.float64(455.0576835059738), np.float64(327.3080535640935))
(np.float64(454.74199323001176), np.float64(327.4300305595367))
(np.float64(455.35580737310994), np.float64(327.27183200238))
