(np.float64(51.35810400490353), np.float64(47.016055533749686))
(np.float64(52.111969130409314), np.float64(46.55148189839485))
(np.float64(52.17251283203746), np.float64(46.5752466126067))
(np.float64(52.40664393915823), np.float64(47.42573918478484))
(np.float64(50.9402498519556), np.float64(46.81782325686723))
(np.float64(52.389000198739254), np.float64(46.801282188131395))
(np.float64(51.94721469203666), np.float64(46.55967579565732))
(np.float64(46.89790399552717), np.float64(48.809876543808635))
(np.float64(53.38634020313549), np.float64(49.36545475446334))
(np.float64(48.9105875273669), np.float64(48.42482706992158))
(np.float64(54.83263847955982), np.float64(48.37121921919107))
(np.float64(52.868108602342694), np.float64(48.82925327627949))
(np.float64(53.904389918635175), np.float64(47.9067669183399))
(np.float64(54.39089684032715), np.float64(48.22679370405552))
(np.float64(54.81984287516771), np.float64(48.26333296580329))
(np.float64(52.81427298293449), np.float64(49.11262958704635))
(np.float64(54.51731752264694), np.float64(47.8392783881872))
(np.float64(52.69604979623601), np.float64(49.116100529637926))
(np.float64(54.7674196843512), np.float64(47.94945763340089))
(np.float64(54.42671888011858), np.float64(47.71593253104415))
(np.float64(53.14872310571837), np.float64(49.218290364407046))
(np.float64(53.21145619304601), np.float64(49.28947383931545))
(np.float64(54.89720862568907), np.float64(48.26205465043633))
(np.float64(54.16759423687608), np.float64(47.5478167266559))
(np.float64(54.90320962664912), np.float64(48.04973914672661))
(np.float64(53.554776735028526), np.float64(47.72277605164141))
(np.float64(53.45879435717824), np.float64(47.71161236813804))
(np.float64(47.814261176859326), np.float64(49.27899798063015))
(np.float64(54.2039243070956), np.float64(47.96403068314316))
(np.float64(54.343129496884075), np.float64(48.002623722291375))
(np.float64(54.18386490804083), np.float64(47.49614301580495))
(np.float64(53.18663708646978), np.float64(49.18648478470753))
(np.float64(53.04776965887969), np.float64(49.16519767016415))
(np.float64(54.84057242356218), np.float64(47.90970797703144))
(np.float64(53.12476591696447), np.float64(49.309117665271884))
(np.float64(53.05356744767245), np.float64(49.283254021709006))
(np.float64(53.32691312810315), np.float64(49.2330282036208))
(np.float64(52.70108033771571), np.float64(49.110676840927866))
(np.float64(54.860975306657046), np.float64(48.02936858648114))
(np.float64(53.05125807664014), np.float64(49.26475760076808))
(np.float64(53.34616349303961), np.float64(49.34583541359459))
(np.float64(53.21443987476584), np.float64(49.19330436568147))
(np.float64(48.2319998525835), np.float64(49.38423075386374))
(np.float64(48.20145075240269), np.float64(49.39957702318891))
(np.float64(48.10872531769332), np.float64(49.46358000455392))
(np.float64(52.82262254090157), np.float64(48.87107180110129))
(np.float64(52.96528545854649), np.float64(48.96868474321403))
(np.float64(54.90181887170392), np.float64(49.09493184047812))
(np.float64(54.98075587534232), np.float64(48.67048725909599))
(np.float64(49.06793131041558), np.float64(49.44702142049499))
(np.float64(54.53659025479176), np.float64(48.09852925398732))
(np.float64(54.736255399215416), np.float64(48.42024369235381))
(np.float64(52.84339942454575), np.float64(49.138735960226015))
(np.float64(52.855294792087584), np.float64(49.14148350189413))
(np.float64(47.881185775224694), np.float64(49.47250536342459))
(np.float64(47.92028504469827), np.float64(48.013959225635965))
(np.float64(54.949754229300005), np.float64(50.12006991643398))
(np.float64(49.72491746241387), np.float64(49.907297559828024))
(np.float64(52.43188923643826), np.float64(50.33319330672815))
(np.float64(54.36645225447349), np.float64(49.91425799064065))
(np.float64(54.954202356384776), np.float64(50.57781257676715))
(np.float64(51.92713431289235), np.float64(50.30853197779973))
(np.float64(54.796603344412794), np.float64(50.76584548247792))
(np.float64(53.066396862961255), np.float64(50.47812870557465))
(np.float64(53.1685432276423), np.float64(49.720852123982255))
(np.float64(49.93843432496421), np.float64(49.918982036236855))
