(np.float64(43.66791091685747), np.float64(140.69452215773697))
(np.float64(44.25198880844654), np.float64(141.15161305420378))
(np.float64(44.97754120796813), np.float64(141.67044145562605))
(np.float64(44.255723265501395), np.float64(142.24905710074867))
(np.float64(44.92441110929144), np.float64(143.3119224499181))
(np.float64(43.52873815084319), np.float64(140.7487982573394))
(np.float64(44.869273856980676), np.float64(142.10352860527013))
(np.float64(60.48425356924705), np.float64(138.3233160598843))
(np.float64(60.35505085686853), np.float64(138.82084710423814))
(np.float64(60.72219698517668), np.float64(140.05091885508133))
(np.float64(60.49060238898241), np.float64(140.030843206773))
(np.float64(60.661414353206034), np.float64(140.156199749989))
(np.float64(60.62734735910575), np.float64(139.85748535178942))
(np.float64(60.579987133554205), np.float64(139.70326949973608))
(np.float64(60.659323279189145), np.float64(139.7929892747619))
(np.float64(60.1139592128286), np.float64(140.1931104092639))
(np.float64(60.55197974598435), np.float64(140.47390311933714))
(np.float64(54.14433615346244), np.float64(139.27953880403308))
(np.float64(57.09835514450945), np.float64(139.84476310779016))
(np.float64(57.41077790057797), np.float64(140.0356797383023))
(np.float64(49.4897467135156), np.float64(139.76094738974842))
(np.float64(57.98743490687753), np.float64(138.1758798490198))
(np.float64(60.340319708593725), np.float64(140.30651586743528))
(np.float64(60.27468148485967), np.float64(140.61138311289653))
(np.float64(60.72012203635566), np.float64(139.02084406481376))
(np.float64(60.6410177121138), np.float64(138.9198397566367))
(np.float64(60.72298625291594), np.float64(139.54975686659222))
(np.float64(60.310952602745125), np.float64(139.31168499308035))
(np.float64(60.60918466475591), np.float64(139.38761451379372))
(np.float64(59.988285491283115), np.float64(139.3434401480509))
(np.float64(60.27194436260504), np.float64(139.15662228437162))
(np.float64(58.086347909347595), np.float64(139.04194590484164))
(np.float64(60.430525624529125), np.float64(139.3075428318908))
(np.float64(60.47729597994429), np.float64(139.208459208919))
(np.float64(59.37730036672841), np.float64(140.66773129310394))
(np.float64(58.362094336941034), np.float64(141.20556878707927))
(np.float64(60.48742572504973), np.float64(140.14949465497045))
(np.float64(60.50158416872067), np.float64(140.29244567102734))
(np.float64(60.797474089126766), np.float64(140.257206603645))
(np.float64(53.13315171328126), np.float64(139.02862826115458))
(np.float64(56.36669979116815), np.float64(138.30601092316613))
(np.float64(48.89007922362643), np.float64(140.10957614848502))
(np.float64(52.012031744418216), np.float64(139.7633954133766))
(np.float64(60.394382988066894), np.float64(141.23397203091133))
(np.float64(59.5180161234186), np.float64(140.40238539878123))
(np.float64(54.60476707012067), np.float64(141.19693361282913))
(np.float64(48.45397464137402), np.float64(140.41344526310056))
(np.float64(55.5201654090445), np.float64(138.67220251807672))
(np.float64(57.60260151746141), np.float64(138.9420928198963))
(np.float64(55.131503759013505), np.float64(140.42754242946134))
(np.float64(57.16028283889213), np.float64(140.33713313263553))
(np.float64(56.793493198828465), np.float64(140.5962201180646))
(np.float64(57.17017174637285), np.float64(140.97306193697537))
(np.float64(57.28439467034053), np.float64(141.1902431240127))
(np.float64(57.208906551702), np.float64(140.13355201625194))
(np.float64(51.57248989423921), np.float64(140.15613350692664))
(np.float64(52.636737678244316), np.float64(139.9174903551726))
(np.float64(50.813570646311476), np.float64(139.49544028174813))
(np.float64(52.39231921522911), np.float64(139.79632039781947))
(np.float64(51.27497965155182), np.float64(140.2540703309533))
(np.float64(51.484904409613115), np.float64(141.1950698372668))
(np.float64(46.4089661569491), np.float64(140.5727477097032))
(np.float64(47.275580744830904), np.float64(141.31188575259375))
(np.float64(47.81660141118302), np.float64(141.21341316582001))
(np.float64(57.85643761606082), np.float64(140.45876242775432))
(np.float64(60.420257168046), np.float64(140.32409815834086))
(np.float64(55.41754101028857), np.float64(141.2839150583917))
(np.float64(59.98736462112917), np.float64(137.9654209692898))
(np.float64(60.15621000479993), np.float64(139.81075787049713))
(np.float64(52.27265533748916), np.float64(139.93123406357742))
(np.float64(60.30857352923134), np.float64(140.47835358653552))
