(np.float64(119.54864898446208), np.float64(422.0459655648494))
(np.float64(116.40898215384644), np.float64(425.1512264444158))
(np.float64(116.44094975123666), np.float64(424.9674153976303))
(np.float64(116.46255231436457), np.float64(425.03811244360134))
(np.float64(116.48459337882896), np.float64(425.17409605908097))
(np.float64(116.55103543499071), np.float64(424.97709882442604))
(np.float64(116.57580079090256), np.float64(425.09743968286483))
(np.float64(116.59429309816593), np.float64(425.0532118620609))
(np.float64(116.62750632372995), np.float64(425.04567354688186))
(np.float64(115.68904981916123), np.float64(427.19343815485166))
(np.float64(116.51081815181115), np.float64(426.18026467922414))
(np.float64(116.94004351670159), np.float64(426.0607487378328))
(np.float64(117.07422787480266), np.float64(426.01228111853237))
(np.float64(117.1945152601846), np.float64(425.94192237885943))
(np.float64(117.2590658133308), np.float64(425.9240983280409))
(np.float64(117.30094711286557), np.float64(426.0277148432481))
(np.float64(117.33284500779772), np.float64(426.1570359095748))
(np.float64(117.29638108109665), np.float64(427.1810720961035))
(np.float64(117.38193999250412), np.float64(426.07336461717085))
(np.float64(117.42718053482407), np.float64(425.99745091479434))
(np.float64(117.44863068881173), np.float64(425.9007534966663))
(np.float64(117.49952909482273), np.float64(425.848664872723))
(np.float64(117.53278289345812), np.float64(425.84232056906626))
(np.float64(117.5764637997343), np.float64(425.8740071779186))
(np.float64(117.59544298392667), np.float64(426.06551393533937))
(np.float64(117.6497859402048), np.float64(425.96748723165786))
(np.float64(117.67815779193138), np.float64(426.01744080469666))
(np.float64(117.66102953766718), np.float64(427.23446352050485))
(np.float64(117.72109693910542), np.float64(427.1906169154999))
(np.float64(117.83109766213013), np.float64(426.0726463678138))
(np.float64(117.8837471258928), np.float64(426.24095829531035))
(np.float64(117.93546531613627), np.float64(426.0184825117171))
(np.float64(117.9827038224491), np.float64(426.1853049702933))
(np.float64(118.01114468308297), np.float64(426.7580839530221))
(np.float64(118.04917102004697), np.float64(427.27150793864706))
(np.float64(118.11596470955459), np.float64(426.47904150226566))
(np.float64(118.17909780581448), np.float64(425.99428827820645))
(np.float64(118.20397586472232), np.float64(426.4869472755376))
(np.float64(118.23780427524379), np.float64(426.7597037262338))
(np.float64(118.23576018971292), np.float64(427.43345822898425))
(np.float64(118.26336028601494), np.float64(427.3840355701622))
(np.float64(118.33841735904122), np.float64(426.36501161382455))
(np.float64(118.35787232326503), np.float64(426.5545382309216))
(np.float64(118.39706123496312), np.float64(426.2809255295411))
(np.float64(118.4020987120184), np.float64(426.76080307017605))
(np.float64(118.44448179996384), np.float64(426.5486391436841))
(np.float64(118.46750181996944), np.float64(426.4285650150905))
(np.float64(118.511584642449), np.float64(426.12642597777955))
(np.float64(118.50595261375227), np.float64(426.8036489382479))
(np.float64(118.55821576632432), np.float64(426.240707686832))
(np.float64(118.56982556182224), np.float64(426.34190884539294))
(np.float64(118.57739157389548), np.float64(426.8088751099011))
(np.float64(118.62614238100113), np.float64(426.291845453117))
(np.float64(118.6350199091529), np.float64(426.57537988662074))
(np.float64(118.6673415673346), np.float64(426.1756746955287))
(np.float64(118.66519379505297), np.float64(426.80934456897813))
(np.float64(118.72293500668145), np.float64(426.1780364758994))
(np.float64(118.7395373714392), np.float64(426.6129208550116))
(np.float64(118.77889984574708), np.float64(426.5589512432121))
(np.float64(118.79099807868019), np.float64(426.7820723663681))
(np.float64(118.84025986383158), np.float64(426.3002468675338))
(np.float64(118.85065836222442), np.float64(426.4993473952169))
(np.float64(118.85768686770685), np.float64(426.8759991516896))
(np.float64(118.91856365003693), np.float64(426.1825465194272))
(np.float64(118.92511793599657), np.float64(426.59250908224976))
(np.float64(118.9691832461713), np.float64(426.187985117372))
(np.float64(118.97526313922079), np.float64(426.764561894335))
(np.float64(119.01581072886219), np.float64(426.7676212571938))
(np.float64(119.05280522657723), np.float64(426.77308421901256))
(np.float64(119.09724731152784), np.float64(426.8707285553664))
(np.float64(119.19864671543951), np.float64(426.4049272111925))
(np.float64(119.23779834845617), np.float64(426.84394556959666))
(np.float64(119.32382142280947), np.float64(426.4878634662004))
(np.float64(119.39575714307243), np.float64(426.62044413974223))
(np.float64(119.4492536131733), np.float64(426.59587632686765))
(np.float64(119.47793167025857), np.float64(426.6473420963197))
(np.float64(119.53725713921712), np.float64(426.7550828937555))
(np.float64(119.59038238298656), np.float64(426.8750944156858))
(np.float64(119.66255027142601), np.float64(426.98773847256916))
(np.float64(100.47775367893888), np.float64(431.1839922455006))
(np.float64(100.73223409189109), np.float64(431.12997372414287))
(np.float64(100.88458912025176), np.float64(431.06874525440486))
(np.float64(100.95695432561708), np.float64(431.13561062703025))
(np.float64(101.04012254642886), np.float64(431.08944024202344))
(np.float64(101.09094708862534), np.float64(431.05649416646617))
(np.float64(101.15788919930417), np.float64(430.99291203765256))
(np.float64(101.23586996138573), np.float64(431.2355725615132))
(np.float64(101.29416931293088), np.float64(431.22037677848476))
(np.float64(101.31979728021709), np.float64(431.1356247483809))
(np.float64(101.37138005348267), np.float64(430.87088401141176))
(np.float64(101.43246767709044), np.float64(430.9320679958713))
(np.float64(101.47575169542706), np.float64(430.9797272437297))
(np.float64(101.55985517770615), np.float64(430.82013733981205))
(np.float64(101.6174082620401), np.float64(430.88664501201555))
(np.float64(101.7706343978545), np.float64(430.98605415328063))
(np.float64(97.56658557996143), np.float64(432.0456361374271))
(np.float64(97.59373278361608), np.float64(432.05039048634603))
(np.float64(97.62087981386979), np.float64(432.0551447140486))
(np.float64(97.65149532212119), np.float64(432.0561270871686))
(np.float64(97.68230329241096), np.float64(432.0216120873801))
(np.float64(97.70023208469935), np.float64(432.06463353290417))
(np.float64(97.71664528180499), np.float64(432.0195088549562))
(np.float64(97.7239104635877), np.float64(432.0731599182262))
(np.float64(97.74026748258703), np.float64(432.0053682942371))
(np.float64(97.74736933171194), np.float64(432.0389864974919))
(np.float64(97.75452614522156), np.float64(432.0741423519505))
(np.float64(97.76568720941995), np.float64(432.08485603111194))
(np.float64(97.77820452410867), np.float64(432.08266879788204))
(np.float64(97.79349571955896), np.float64(432.01665834259677))
(np.float64(97.80695401755669), np.float64(432.0170167702967))
(np.float64(97.82929833976581), np.float64(432.00877808472234))
(np.float64(97.85655703268132), np.float64(431.96521984613787))
(np.float64(97.86979824737165), np.float64(431.96633070534335))
(np.float64(97.88110357139587), np.float64(431.9732651359078))
(np.float64(97.8885372874913), np.float64(431.9918465879732))
(np.float64(99.34296439740197), np.float64(431.688369052898))
(np.float64(99.57983175982933), np.float64(431.63234723947306))
(np.float64(99.6359956497132), np.float64(431.55657832637036))
(np.float64(99.69902297854286), np.float64(431.6333044002256))
(np.float64(99.77462414694968), np.float64(431.4717066587456))
(np.float64(99.81556255590309), np.float64(431.61739200422375))
(np.float64(99.90232929662105), np.float64(431.48742420438066))
(np.float64(97.89965847216665), np.float64(431.9437961242158))
(np.float64(97.90168712606106), np.float64(432.03862400914477))
(np.float64(97.90914737071391), np.float64(432.03588404330475))
(np.float64(97.92416426442001), np.float64(431.9518650505773))
(np.float64(97.92860112120381), np.float64(432.0393637132531))
(np.float64(97.93898886947267), np.float64(432.024924422379))
(np.float64(97.95600996919644), np.float64(431.9785228836246))
(np.float64(97.97609086850292), np.float64(432.02086044375875))
(np.float64(97.99847177584515), np.float64(432.0126406674567))
(np.float64(98.02085268317752), np.float64(432.0044208305495))
(np.float64(98.0387003293121), np.float64(431.987241452619))
(np.float64(98.07766262130035), np.float64(431.9643778380128))
(np.float64(98.0867620876532), np.float64(431.9652436039423))
(np.float64(98.09427712330213), np.float64(431.9311163048676))
(np.float64(98.10753030184051), np.float64(431.923666535994))
(np.float64(98.18230977872159), np.float64(431.9231768343005))
(np.float64(98.19698214805341), np.float64(431.9029764575178))
(np.float64(98.22609610564338), np.float64(432.11601530154326))
(np.float64(98.25276683570718), np.float64(432.06872090568675))
(np.float64(98.2887369498938), np.float64(432.1450186723771))
(np.float64(98.32082852058711), np.float64(431.846210939946))
(np.float64(98.33469272274742), np.float64(431.8859519901758))
(np.float64(98.35117163437408), np.float64(431.8780137317383))
(np.float64(98.3634725593148), np.float64(431.9454335945634))
(np.float64(98.38379516320265), np.float64(431.86437663042557))
(np.float64(98.41668397753268), np.float64(431.9177321756889))
(np.float64(98.46701574755754), np.float64(431.89841101951345))
(np.float64(98.51545254678337), np.float64(431.8631775279429))
(np.float64(98.72442175684598), np.float64(431.7574227496726))
(np.float64(98.7554861697831), np.float64(431.75757893299664))
(np.float64(98.77954357751044), np.float64(431.96871509199485))
(np.float64(98.835973619845), np.float64(432.149632292665))
(np.float64(98.90539034150356), np.float64(432.04905180676025))
(np.float64(98.96277402456444), np.float64(432.13046574404115))
(np.float64(99.01444453276372), np.float64(431.92365792985265))
(np.float64(99.05914791527749), np.float64(431.7213144011712))
(np.float64(99.08115152766321), np.float64(431.96173284278547))
(np.float64(99.10477702283274), np.float64(432.01855417907746))
(np.float64(99.13771594665258), np.float64(431.9735768358874))
(np.float64(99.18584185900852), np.float64(431.99333514779573))
(np.float64(99.22098213238452), np.float64(432.12470465813425))
(np.float64(99.26870335429084), np.float64(431.8793028956989))
(np.float64(99.2786812104342), np.float64(432.0682820529677))
(np.float64(99.32316490879157), np.float64(431.92783597017586))
(np.float64(99.44295206627767), np.float64(431.8187597659087))
(np.float64(99.63167912503819), np.float64(431.75631582989706))
(np.float64(99.67861766800485), np.float64(431.8359975080374))
(np.float64(99.78428522099776), np.float64(432.1078578288728))
(np.float64(99.8432658187851), np.float64(431.9550653844954))
(np.float64(96.0656383152877), np.float64(433.1089694911156))
(np.float64(96.24219258375719), np.float64(432.9883218418353))
(np.float64(96.36634273421136), np.float64(433.0125027418836))
(np.float64(96.57910726094264), np.float64(433.1108414485781))
(np.float64(96.71133717573983), np.float64(433.10325198138685))
(np.float64(96.76473602770515), np.float64(433.0743466114968))
(np.float64(96.82390180518416), np.float64(432.56170226976275))
(np.float64(96.81654403356175), np.float64(433.12150700606287))
(np.float64(96.84047642765182), np.float64(433.0313726209765))
(np.float64(96.87656878125041), np.float64(432.59599890380935))
(np.float64(96.87259001878242), np.float64(433.0593808912985))
(np.float64(96.91695459875376), np.float64(432.5340129116098))
(np.float64(96.92503956476773), np.float64(432.7493696567978))
(np.float64(96.95521795878915), np.float64(432.46114087495357))
(np.float64(96.96351081847793), np.float64(432.5940054300217))
(np.float64(96.97474262547104), np.float64(432.63991926710054))
(np.float64(96.96532048178764), np.float64(433.00218858173173))
(np.float64(97.00764201655001), np.float64(432.34229421275165))
(np.float64(97.00804740055041), np.float64(432.5141879323893))
(np.float64(96.99881269060583), np.float64(432.9825954229283))
(np.float64(97.00966408165714), np.float64(433.0941204387086))
(np.float64(97.05466395972743), np.float64(432.43152555881437))
(np.float64(97.0514423879882), np.float64(432.75618911655283))
(np.float64(97.04451791603258), np.float64(433.0740838816901))
(np.float64(97.0650954020825), np.float64(432.8903621691046))
(np.float64(97.0738553723323), np.float64(433.03891602711417))
(np.float64(97.09602145042288), np.float64(432.946121010291))
(np.float64(97.13097862478543), np.float64(432.67709732289535))
(np.float64(97.14458447699646), np.float64(432.77951558411513))
(np.float64(97.16889416603442), np.float64(432.6462264794915))
(np.float64(97.21320447518292), np.float64(432.2576670323316))
(np.float64(97.23581217562237), np.float64(432.2244482268709))
(np.float64(97.21918987110804), np.float64(432.8261613676493))
(np.float64(97.23289316807586), np.float64(432.9279693805552))
(np.float64(97.25114411754372), np.float64(432.8754642677411))
(np.float64(97.29586743980424), np.float64(432.21759591831255))
(np.float64(97.31489083825485), np.float64(432.2711735869315))
(np.float64(97.33296839850031), np.float64(432.27313833317066))
(np.float64(97.30696174914863), np.float64(433.07820040626757))
(np.float64(97.35050706504599), np.float64(432.6931809326723))
(np.float64(97.3978903513542), np.float64(432.2817870227045))
(np.float64(97.38370208474824), np.float64(433.0254688064189))
(np.float64(97.43797152399524), np.float64(432.19187876101313))
(np.float64(97.42470256703702), np.float64(432.69818273852286))
(np.float64(97.43661319283656), np.float64(433.0487120004499))
(np.float64(97.51678594145922), np.float64(432.4042874171372))
(np.float64(97.5095004731476), np.float64(433.0769933643156))
(np.float64(97.53919025633292), np.float64(433.06904262091365))
(np.float64(97.57191764531322), np.float64(432.90832803947166))
(np.float64(97.60604376512262), np.float64(432.59299414753514))
(np.float64(97.60365948993915), np.float64(432.9538429636071))
(np.float64(97.65035130004213), np.float64(432.4995270636187))
(np.float64(97.65921478365777), np.float64(432.5045025661842))
(np.float64(97.66721548251536), np.float64(432.49469435030903))
(np.float64(97.67671807880302), np.float64(432.4953699325884))
(np.float64(97.67287698738097), np.float64(432.8875388085203))
(np.float64(97.69155880905893), np.float64(432.73286919451056))
(np.float64(97.70504901066991), np.float64(432.712728878914))
(np.float64(97.71228488966621), np.float64(432.8226883038261))
(np.float64(97.74509845307152), np.float64(432.6313830028929))
(np.float64(97.77829590022802), np.float64(432.6336310245914))
(np.float64(97.79851620447405), np.float64(432.5466207302623))
(np.float64(97.82578495396648), np.float64(432.580838393852))
(np.float64(97.83268203041912), np.float64(432.9775734350645))
(np.float64(97.87103954080038), np.float64(432.6878373053384))
(np.float64(97.89293183732003), np.float64(432.5814636120067))
(np.float64(97.90339969140848), np.float64(433.0071448719905))
(np.float64(97.95554459251792), np.float64(432.6814289404603))
(np.float64(97.98055997569695), np.float64(432.57285692287843))
(np.float64(97.98321092350068), np.float64(433.11332729074934))
(np.float64(98.03015033340428), np.float64(432.6164784348009))
(np.float64(98.05541834467729), np.float64(432.7151036897134))
(np.float64(98.08212028479741), np.float64(432.52853310114693))
(np.float64(98.10923801228071), np.float64(432.46470351539654))
(np.float64(98.12121799377464), np.float64(432.562726885715))
(np.float64(98.14475731449696), np.float64(432.38701834137674))
(np.float64(98.15890934276555), np.float64(432.46683620264866))
(np.float64(98.14739404438828), np.float64(433.083066150202))
(np.float64(98.17638038751043), np.float64(433.04059871002187))
(np.float64(98.21420715349157), np.float64(432.52691799464924))
(np.float64(98.20770211006261), np.float64(433.07449824932576))
